ds,y
2015-01-04,1.3012962962962962
2015-01-11,1.3706481481481485
2015-01-18,1.391111111111111
2015-01-25,1.3971296296296296
2015-02-01,1.2470370370370376
2015-02-08,1.310462962962963
2015-02-15,1.3875925925925925
2015-02-22,1.3626851851851853
2015-03-01,1.3110185185185188
2015-03-08,1.360092592592593
2015-03-15,1.3919444444444447
2015-03-22,1.3492592592592596
2015-03-29,1.3975925925925925
2015-04-05,1.4129629629629628
2015-04-12,1.3639814814814817
2015-04-19,1.3716666666666668
2015-04-26,1.385185185185185
2015-05-03,1.2838888888888889
2015-05-10,1.3235185185185185
2015-05-17,1.3531481481481475
2015-05-24,1.3804629629629628
2015-05-31,1.3824074074074078
2015-06-07,1.3809259259259254
2015-06-14,1.400462962962963
2015-06-21,1.408425925925926
2015-06-28,1.4064814814814826
2015-07-05,1.4137962962962969
2015-07-12,1.4156481481481482
2015-07-19,1.3875
2015-07-26,1.420833333333333
2015-08-02,1.4773148148148147
2015-08-09,1.4312962962962965
2015-08-16,1.4498148148148144
2015-08-23,1.4445370370370372
2015-08-30,1.4194444444444447
2015-09-06,1.434351851851852
2015-09-13,1.4632407407407415
2015-09-20,1.4480555555555554
2015-09-27,1.450925925925925
2015-10-04,1.4191666666666671
2015-10-11,1.373333333333333
2015-10-18,1.3923148148148148
2015-10-25,1.3830555555555557
2015-11-01,1.304907407407407
2015-11-08,1.334351851851851
2015-11-15,1.3400000000000003
2015-11-22,1.3309259259259258
2015-11-29,1.3428703703703706
2015-12-06,1.2891588785046726
2015-12-13,1.2878703703703707
2015-12-20,1.3453703703703699
2015-12-27,1.2984259259259257
2016-01-03,1.2063888888888892
2016-01-10,1.2276851851851853
2016-01-17,1.2716666666666665
2016-01-24,1.2422222222222221
2016-01-31,1.2529629629629626
2016-02-07,1.1738888888888885
2016-02-14,1.2323148148148149
2016-02-21,1.2766666666666666
2016-02-28,1.265555555555556
2016-03-06,1.2569444444444444
2016-03-13,1.1970370370370373
2016-03-20,1.1976851851851853
2016-03-27,1.2451851851851852
2016-04-03,1.2353703703703702
2016-04-10,1.1737962962962962
2016-04-17,1.2212962962962965
2016-04-24,1.1896296296296296
2016-05-01,1.163703703703704
2016-05-08,1.1485185185185185
2016-05-15,1.2158333333333333
2016-05-22,1.2246296296296302
2016-05-29,1.2459259259259254
2016-06-05,1.2426851851851852
2016-06-12,1.3009259259259256
2016-06-19,1.2777777777777781
2016-06-26,1.3108333333333333
2016-07-03,1.294722222222222
2016-07-10,1.3532407407407407
2016-07-17,1.4280555555555554
2016-07-24,1.4823148148148144
2016-07-31,1.4483333333333335
2016-08-07,1.4160185185185181
2016-08-14,1.4188888888888889
2016-08-21,1.4156481481481482
2016-08-28,1.393888888888888
2016-09-04,1.3720370370370376
2016-09-11,1.3568518518518518
2016-09-18,1.4481481481481482
2016-09-25,1.5344444444444445
2016-10-02,1.575277777777777
2016-10-09,1.4829629629629626
2016-10-16,1.4844444444444447
2016-10-23,1.540740740740741
2016-10-30,1.7020370370370363
2016-11-06,1.6194444444444442
2016-11-13,1.5844444444444448
2016-11-20,1.4997222222222217
2016-11-27,1.4964814814814817
2016-12-04,1.369166666666666
2016-12-11,1.3077777777777777
2016-12-18,1.2771296296296295
2016-12-25,1.309907407407408
2017-01-01,1.2766666666666668
2017-01-08,1.2944444444444445
2017-01-15,1.3186111111111107
2017-01-22,1.2232407407407406
2017-01-29,1.2745370370370372
2017-02-05,1.1447222222222224
2017-02-12,1.2039814814814815
2017-02-19,1.269351851851852
2017-02-26,1.241111111111111
2017-03-05,1.2874074074074078
2017-03-12,1.4361111111111113
2017-03-19,1.4681481481481486
2017-03-26,1.4040740740740743
2017-04-02,1.448055555555555
2017-04-09,1.4659259259259256
2017-04-16,1.5048148148148146
2017-04-23,1.5437037037037034
2017-04-30,1.5505555555555564
2017-05-07,1.461666666666667
2017-05-14,1.5283333333333344
2017-05-21,1.5608333333333337
2017-05-28,1.5795370370370367
2017-06-04,1.5646296296296294
2017-06-11,1.521574074074074
2017-06-18,1.5385046728971974
2017-06-25,1.556915887850467
2017-07-02,1.5695370370370378
2017-07-09,1.540277777777778
2017-07-16,1.5810185185185188
2017-07-23,1.5634259259259256
2017-07-30,1.57037037037037
2017-08-06,1.606203703703704
2017-08-13,1.6415740740740736
2017-08-20,1.7368518518518519
2017-08-27,1.8112037037037036
2017-09-03,1.8551851851851848
2017-09-10,1.8438888888888891
2017-09-17,1.8313888888888892
2017-09-24,1.8333333333333333
2017-10-01,1.8712962962962971
2017-10-08,1.8433333333333337
2017-10-15,1.7828703703703699
2017-10-22,1.6645370370370371
2017-10-29,1.600185185185185
2017-11-05,1.5590740740740738
2017-11-12,1.508796296296296
2017-11-19,1.4991666666666663
2017-11-26,1.5021296296296298
2017-12-03,1.3853703703703704
2017-12-10,1.341481481481482
2017-12-17,1.3689814814814814
2017-12-24,1.439907407407407
2017-12-31,1.2835185185185183
2018-01-07,1.357777777777778
2018-01-14,1.4225925925925924
2018-01-21,1.3771296296296298
2018-01-28,1.3922222222222234
2018-02-04,1.2340740740740739
2018-02-11,1.307037037037037
2018-02-18,1.3740740740740738
2018-02-25,1.3596296296296293
2018-03-04,1.3501851851851854
2018-03-11,1.335092592592593
2018-03-18,1.3137037037037034
2018-03-25,1.3468518518518513
